,id,Category_name,Category_number,Product,Manufacturer / product label / country of origin,Procured_in,Antioxidant_content_in_mmol/100g,Comment,Query,Amazon_url
88,89,Berries and berry products,1,"Raspberries, wild",Malawi,Malawi,1.73,4,Raspberries++wild,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Raspberries++wild
89,90,Berries and berry products,1,"Raspberries, wild",Norway,Norway,3.97,4,Raspberries++wild,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Raspberries++wild
90,91,Berries and berry products,1,"Raspberries, wild","Fruitmaster, Netherlands",Norway,2.5,3,Raspberries++wild,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Raspberries++wild
91,92,Berries and berry products,1,"Raspberry, jam","Nora, Stabburet, Norway",Norway,1.26,3,Raspberry++jam,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Raspberry++jam
92,93,Berries and berry products,1,"Raspberry, jam,","Eldorado, Norgesgruppen, Norway",Norway,1.12,3,Raspberry++jam+,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Raspberry++jam+
93,94,Berries and berry products,1,"Raspberry, jam, Bestemor Lerum Bringebærsyltetøy","Lerum Konserves, Norway",Norway,1.4,3,Raspberry++jam++Bestemor+Lerum+Bringebærsyltetøy,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Raspberry++jam++Bestemor+Lerum+Bringebærsyltetøy
94,95,Berries and berry products,1,"Raspberry, jam, light","Nora, Stabburet, Norway",Norway,1.27,3,Raspberry++jam++light,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Raspberry++jam++light
95,96,Berries and berry products,1,"Red whortleberries, cultivated, dried","The Norwegian Crop Research Institute, Norway",Norway,32.28,5,Red+whortleberries++cultivated++dried,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Red+whortleberries++cultivated++dried
96,97,Berries and berry products,1,"Red whortleberries, frozen",Poland,Norway,4.98,3,Red+whortleberries++frozen,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Red+whortleberries++frozen
97,98,Berries and berry products,1,"Red whortleberries, syrup, without sugar (undiluted)","Corona, Norway",Norway,2.34,3,Red+whortleberries++syrup++without+sugar++undiluted+,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Red+whortleberries++syrup++without+sugar++undiluted+
98,99,Berries and berry products,1,"Red whortleberries, wild",Norway,Norway,5.0,4,Red+whortleberries++wild,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Red+whortleberries++wild
99,100,Berries and berry products,1,"Redcurrant, cultivated",Norway,Norway,1.61,3,Redcurrant++cultivated,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Redcurrant++cultivated
100,101,Berries and berry products,1,"Redcurrant, Dessert Berries, without sugar, frozen","Norske Dessertbær, Norway (berries from Poland)",Norway,1.87,3,Redcurrant++Dessert+Berries++without+sugar++frozen,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Redcurrant++Dessert+Berries++without+sugar++frozen
101,102,Berries and berry products,1,"Rock bramble, frozen, wild",Norway,Norway,8.51,4,Rock+bramble++frozen++wild,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Rock+bramble++frozen++wild
102,103,Berries and berry products,1,"Rowanberries, dried","The Norwegian Crop Research Institute, Norway",Norway,19.13,5,Rowanberries++dried,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Rowanberries++dried
103,104,Berries and berry products,1,"Rowanberries, dried","Norsk Øko‐Urt BA, Norway",Norway,10.13,5,Rowanberries++dried,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Rowanberries++dried
104,105,Berries and berry products,1,"Rowanberries, wild",Norway,Norway,2.36,4,Rowanberries++wild,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Rowanberries++wild
105,106,Berries and berry products,1,"Sea buckthorn, berries",Denmark,Denmark,2.21,4,Sea+buckthorn++berries,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Sea+buckthorn++berries
106,107,Berries and berry products,1,"Sea buckthorn, berries",Norway,Norway,4.58,4,Sea+buckthorn++berries,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Sea+buckthorn++berries
107,108,Berries and berry products,1,"Sour cherries, cultivated",Norway,Norway,7.14,3,Sour+cherries++cultivated,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Sour+cherries++cultivated
108,109,Berries and berry products,1,"Sour cherries, without stone, without sugar, frozen",Poland,Norway,3.3,3,Sour+cherries++without+stone++without+sugar++frozen,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Sour+cherries++without+stone++without+sugar++frozen
109,110,Berries and berry products,1,"Sour cherries, without stone, without sugar, frozen",Norway,Norway,6.07,4,Sour+cherries++without+stone++without+sugar++frozen,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Sour+cherries++without+stone++without+sugar++frozen
110,111,Berries and berry products,1,"Strawberries, Corona, cultivated",Norway,Norway,2.05,3,Strawberries++Corona++cultivated,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Strawberries++Corona++cultivated
111,112,Berries and berry products,1,"Strawberries, cultivated",,USA,2.16,6,Strawberries++cultivated,https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=Strawberries++cultivated
